Date,Close,High,Low,Open,Volume,volume_missing,delivery_pct,nse_traded_qty,ticker,sector,is_fno,trading_day,month,year,typical_price,daily_range,daily_range_pct
2025-06-18,1574.214111328125,1585.589952431105,1562.741770047165,1562.741770047165,5629707,0,0.6454323466567621,5629707.0,INFY.NS,IT,True,2,6,2025,1574.1819446021316,22.848182383940184,0.014514024629511004
2025-06-19,1560.2352294921875,1571.4183055533615,1553.5831898154863,1565.5375611980423,5147760,0,0.482172051533094,5147760.0,INFY.NS,IT,True,3,6,2025,1561.7455749536784,17.835115737875185,0.011431042832996414
2025-06-20,1564.573486328125,1572.0930860674746,1551.076642111549,1560.8136276168789,9202821,0,0.7573592923300366,9202821.0,INFY.NS,IT,True,4,6,2025,1562.5810715023829,21.016443955925524,0.013432698521083029
2025-06-23,1527.071533203125,1543.4605584963404,1518.7806380620095,1543.4605584963404,7943676,0,0.5470272201434198,7943676.0,INFY.NS,IT,True,0,6,2025,1529.7709099204915,24.679920434330825,0.016161600748697866
2025-06-24,1524.7576904296875,1551.172965207259,1519.9373891083474,1543.4604830931148,8083992,0,0.5341728443076144,8083992.0,INFY.NS,IT,True,1,6,2025,1531.9560149150977,31.23557609891168,0.02048559997104148
2025-06-25,1556.8609619140625,1561.6812632899291,1528.1319186406413,1532.8558375256184,7813533,0,0.6820895233948586,7813533.0,INFY.NS,IT,True,2,6,2025,1548.8913812815445,33.54934464928783,0.021549351849661016
2025-06-26,1557.92138671875,1565.6338688312192,1548.859196699971,1550.9801998907828,6519233,0,0.5299999248377838,6519233.0,INFY.NS,IT,True,3,6,2025,1557.4714840833133,16.774672131248053,0.010767341840385409
2025-06-27,1550.208984375,1571.0326636135578,1544.8102701550988,1560.8136478253264,8912268,0,0.7678990353521685,8912268.0,INFY.NS,IT,True,4,6,2025,1555.3506393812188,26.22239345845901,0.01691539251982282
2025-06-30,1544.2318115234375,1556.9573602116636,1536.8084767193552,1556.9573602116636,6294505,0,0.6935201417744524,6294505.0,INFY.NS,IT,True,0,6,2025,1545.9992161514856,20.148883492308414,0.013047836045050032
2025-07-01,1549.05224609375,1559.560409956517,1542.9786187031953,1551.1731318297038,4178937,0,0.6387557409934632,4178937.0,INFY.NS,IT,True,1,7,2025,1550.5304249178207,16.581791253321853,0.010704475136417257
