Date,Close,High,Low,Open,Volume,volume_missing,delivery_pct,nse_traded_qty,ticker,sector,is_fno,trading_day,month,year,typical_price,daily_range,daily_range_pct
2021-01-15,2789.04736328125,2824.1114607421646,2768.905861020876,2790.4705484120045,4131692,0,0.4742105655503847,4131692.0,TCS.NS,IT,True,4,1,2021,2794.02156168143,55.20559972128876,0.019793711805718726
2021-01-18,2779.04052734375,2809.231081687517,2749.4105704864724,2803.408617635505,4160906,0,0.5298093732470764,4160906.0,TCS.NS,IT,True,0,1,2021,2779.2273931725795,59.82051120104461,0.021525598713820118
2021-01-19,2812.638427734375,2828.4238177838038,2787.88221380825,2788.744801126879,2975735,0,0.4735445192532265,2975735.0,TCS.NS,IT,True,1,1,2021,2809.6481531088098,40.5416039755537,0.014414083081489648
2021-01-20,2854.129638671875,2870.648105502872,2818.1597810756234,2820.661200655656,3453446,0,0.4338066962680175,3453446.0,TCS.NS,IT,True,2,1,2021,2847.6458417501235,52.4883244272487,0.01839030845553089
2021-01-21,2823.982177734375,2854.431348081658,2813.846774585608,2850.851694185324,2778546,0,0.4399632037763636,2778546.0,TCS.NS,IT,True,3,1,2021,2830.753433467214,40.584573496050325,0.014371398593106747
2021-01-22,2849.212646484375,2868.1032271116046,2796.422126882678,2796.422126882678,3052459,0,0.46498478767446183,3052459.0,TCS.NS,IT,True,4,1,2021,2837.9126668262193,71.68110022892643,0.025158213556777966
2021-01-25,2839.0341796875,2880.8696719465147,2828.1223218457994,2854.258764282846,2272887,0,0.5317765467442949,2272887.0,TCS.NS,IT,True,0,1,2021,2849.342057826605,52.747350100715266,0.01857932901199566
2021-01-27,2812.94091796875,2852.1023049644546,2783.5697724256493,2846.5386578880207,2786662,0,0.5011422267932027,2786662.0,TCS.NS,IT,True,2,1,2021,2816.2043317862845,68.5325325388053,0.024363303225114753
2021-01-28,2757.303955078125,2824.973898403804,2746.3059650919727,2786.1574631585613,3083938,0,0.547736368240866,3083938.0,TCS.NS,IT,True,3,1,2021,2776.1946061913004,78.66793331183135,0.02853074401425663
2021-01-29,2683.81103515625,2774.813993782562,2674.0205852281333,2768.948358122252,5445659,0,0.6614011270261322,5445659.0,TCS.NS,IT,True,4,1,2021,2710.881871388982,100.79340855442888,0.03755607501202511
2021-02-01,2707.9638671875,2730.089149995435,2625.8024164648887,2674.020968399952,3985846,0,0.533186931958736,3985846.0,TCS.NS,IT,True,0,2,2021,2687.9518112159412,104.28673353054637,0.03851112446299326
2021-02-02,2763.255615234375,2780.981828748928,2717.150359974914,2737.852457955675,2881837,0,0.5069970994195716,2881837.0,TCS.NS,IT,True,1,2,2021,2753.7959346527387,63.831468774013956,0.02310009556195179
2021-02-03,2760.322998046875,2791.332974604813,2728.062101218418,2771.4934633514413,2505866,0,0.3658846881676833,2505866.0,TCS.NS,IT,True,2,2,2021,2759.906024623369,63.270873386395124,0.022921547018650994
2021-02-04,2750.316650390625,2792.928592710051,2739.5774797814165,2774.124145975899,2057261,0,0.48340050192950723,2057261.0,TCS.NS,IT,True,3,2,2021,2760.940907627364,53.35111292863439,0.01939817108733897
2021-02-05,2724.0078125,2765.3258749331653,2699.035949619647,2759.3738955726767,2366135,0,0.4196413137880975,2366135.0,TCS.NS,IT,True,4,2,2021,2729.4565456842706,66.28992531351832,0.024335438763914457
2021-02-08,2772.4423828125,2782.707089139848,2721.592684609688,2751.2226474927297,2526592,0,0.4595031568215208,2526592.0,TCS.NS,IT,True,0,2,2021,2758.914052187345,61.114404530159845,0.022043525560362567
2021-02-09,2740.354248046875,2799.7866553978947,2729.2269531135325,2755.9671666238105,2658751,0,0.4910478642039063,2658751.0,TCS.NS,IT,True,1,2,2021,2756.455952186101,70.55970228436217,0.025748387214774147
2021-02-10,2771.75244140625,2777.014098773205,2723.4475416582923,2747.3411731650917,2127983,0,0.3352146140265218,2127983.0,TCS.NS,IT,True,2,2,2021,2757.4046939459163,53.56655711491294,0.01932588073693043
2021-02-11,2765.455810546875,2776.928267599993,2747.3846426744685,2773.2190988484726,1165882,0,0.4004444703666409,1165882.0,TCS.NS,IT,True,3,2,2021,2763.2562402737785,29.543624925524455,0.010683094198378146
2021-02-12,2752.343994140625,2799.52748410672,2744.7531826922145,2746.650832906159,2777404,0,0.3140295758197223,2777404.0,TCS.NS,IT,True,4,2,2021,2765.5415536465202,54.77430141450532,0.019900964970625958
2021-02-15,2708.394775390625,2768.042602007056,2701.235258795116,2768.042602007056,2630853,0,0.4617627818810097,2630853.0,TCS.NS,IT,True,0,2,2021,2725.8908787309324,66.80734321193995,0.024666767126776967
2021-02-16,2681.61181640625,2732.3749597743044,2674.021004983255,2717.150376031372,3435770,0,0.48070126929334617,3435770.0,TCS.NS,IT,True,1,2,2021,2696.00259372127,58.353954791049546,0.02176077627419331
